setting,key,desc,N_rows,N_questions,TotalSeconds,MeanSecPerQ,QPS,LLM_calls,ErrorRate,EmptyAnswerRate,BLEU4_mean,BLEU4_CI_low,BLEU4_CI_high,TokenF1_mean,TokenF1_CI_low,TokenF1_CI_high,MeanIntentConsistency,intent_acc,BERT_P,BERT_R,BERT_F1,Delta_BLEU,Delta_F1
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,138,138,540.3243792,3.915394052173913,0.2554021349255455,138,0.007246376811594203,0.007246376811594203,0.05317702489955215,0.0501234232134117,0.05680831540900193,0.13956400397038438,0.12282347113944571,0.1564529231113731,0.0,0.0,0.5287314653396606,0.6165836453437805,0.5685098767280579,0.0,0.0
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,138,138,571.3908504000001,4.140513408695653,0.24151594290211964,138,0.007246376811594203,0.007246376811594203,0.05470958269493168,0.051040736939085285,0.05959225174057495,0.14420733767762448,0.12485791058311646,0.1633387154278586,0.0,0.0,0.5283321738243103,0.6180711984634399,0.568903386592865,0.00153255779537953,0.004643333707240099
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,138,138,430.71797259999994,3.1211447289855068,0.3203952673880134,138,0.0,0.0,0.05149991924241202,0.0494895070312656,0.05359861771971557,0.14230770602297874,0.12443339836761878,0.1626365970667624,0.0,0.0,0.5266995429992676,0.6176738739013672,0.5676978230476379,-0.0016771056571401322,0.00274370205259436
C1__t2t__rgb1__tpl1__imode_gold,C1,with_rgb,138,138,450.1551919000001,3.261994144202899,0.3065609427218515,138,0.0,0.0,0.05207221922975104,0.04989483332953358,0.054271388259867534,0.13884204734756625,0.12043438543043136,0.15609858467923146,0.0,0.0,0.5285336971282959,0.6198891997337341,0.5697284936904907,-0.0011048056698011108,-0.0007219566228181262
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,138,138,455.78201480000007,3.3027682231884063,0.30277631744761857,138,0.0,0.0,0.052817471815328115,0.05085327099927598,0.054721884008124264,0.14508106945177882,0.1272827542534939,0.16224190896311974,0.0,0.0,0.5310583710670471,0.622967541217804,0.572517991065979,-0.00035955308422403603,0.00551706548139444
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,138,138,459.5981459999998,3.3304213478260856,0.30026230784664665,138,0.0,0.0,0.051761445870568225,0.049492118678323004,0.054063938929981924,0.14430349778646992,0.12649337470515454,0.16305000281073778,0.0,0.0,0.5283378958702087,0.6188428401947021,0.5691206455230713,-0.0014155790289839265,0.004739493816085544
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,138,138,459.5759101999997,3.3302602188405777,0.30027683552853046,138,0.0,0.0,0.0521414512901753,0.05008234544359418,0.05427795856827748,0.1508115537546323,0.13334761048484664,0.16816054663389138,0.0,0.0,0.5282399654388428,0.6225168704986572,0.570681095123291,-0.0010355736093768525,0.011247549784247912
